Note,Pedon,SiO2,TiO2,Fe2O3,Al2O3,MnO,CaO,MgO,K2O,Na2O,P2O5,MAP,MAT,USDA,Cat#,,
,56,59.7,0.86,11.53,18.19,0.03,0.001,0.11,0.22,0.555,0.205,1364,18.9,ult,4,,
,57,71.4,1.13,6.545,13.6,0.01,0.25,0.35,0.3,0.115,0.22,1403,18.6,ult,4,,
,58,82.5,0.32,2.56,6.76,0.012,0.6,0.22,0.15,0.001,2.53,1564,19.8,ult,4,,
,59,77.4,0.82,4.155,10.67,0.03,0.22,0.51,1.4,0.86,0.035,1249,18.3,alf,3,,
,60,66.93,1.2,7.7,16.97,0.026,0.14,0.63,0.81,0.53,0.1,1338,16.6,ult,4,,
,61,61.05,0.99,8.88,19.64,0.01,0.13,0.5,1.06,0.06,0.11,1352,16.9,ult,4,,
,62,30.6,0.78,34.23,20.35,0.06,0.02,0.8,0.64,0.3,0.445,1253,18.4,ult,4,,
,63,46,1.54,11.06,27.26,0.05,0.18,0.67,1.4,0.64,0.1,1148,13.2,ult,4,,
,64,47.3,1.77,10.34,27.11,0.07,0.001,0.88,1.66,0.36,0.11,1148,13.2,ult,4,,
,65,51.9,1.08,8,25.64,0.01,0.001,0.22,1.07,0.945,0.135,1051,14.5,ult,4,,
,66,52.03,1.24,9.23,25.55,0.044,0.001,0.42,1.1,0.42,0.11,1341,16.1,ult,4,,
,67,56.47,0.81,7.44,25.39,0.02,0.001,0.03,1.28,0.2,0.06,1348,16.7,ult,4,,
,68,64.56,0.96,7.15,18.54,0.02,0.06,0.22,1.16,0.28,0.26,1228,16,ult,4,,
,69,57.59,0.49,5.63,24.92,0.016,0.3,0.77,1.11,0.11,0.02,1416,15.4,ult,4,,
,70,57.58,1.05,9.51,21.53,0.04,0.001,0.09,0.8,0.001,0.07,1529,14.5,ult,4,,
,71,52.8,1.49,11.61,21.56,0.07,0.001,1.41,1.69,0.335,0.145,1381,16.3,ult,4,,
,72,75.68,0.87,4.21,12.95,0.17,0.43,0.14,0.73,0.24,0.05,1285,14.5,ult,4,,
,73,56.5,0.55,7.91,24.21,0.01,0.22,0.22,1.65,0.27,0.135,1225,15.9,ult,4,,
,74,55.28,0.61,9.08,23.94,0.032,0.001,0.74,1.71,0.3,0.03,1225,15.9,ult,4,,
,75,63.3,0.29,3.81,20.58,0.03,0.2,0.09,3.99,1.37,0.05,1051,14.5,ult,4,,
,76,68.28,0.14,2.04,19.04,0.02,0.19,0.24,4.94,0.4,0.15,1228,16,ult,4,,
,77,49.9,0.64,6.34,29.37,0.01,0.27,0.18,1.25,1.355,0.105,1148,13.2,ult,4,,
,78,60.6,0.69,5.705,22.55,0.05,0.09,0.15,0.7,0.195,0.045,1348,16.7,ult,4,,
,79,60.34,0.65,4.92,21.07,0.04,0.24,0.8,3.14,0.6,0.08,1148,13.2,ept,1,,
,80,51.6,1.43,12.75,22.98,0.08,0.39,0.49,0.4,0,0.16,1051,14.5,ult,4,,
,81,45.79,0.61,10.93,24.7,0.12,1.97,3.96,0.11,1.16,0.001,1277,14,alf,3,,
,82,47.7,1.84,13.82,21.52,0.05,2.92,1.25,0.21,1.19,0.15,1051,14.5,alf,3,,
,83,74.15,0.55,4.07,12.37,0.07,0.95,0.89,1.9,1.12,0.03,677,10.6,oll,6,,
,84,82.22,0.4,2.54,8.78,0.016,0.8,0.55,1.51,1.25,0.06,857,8,oll,6,,
,85,74.7,0.6,4.08,11.92,0.1,1.02,0.69,1.73,1.99,0.13,895,10.4,oll,6,,
,86,72.79,0.66,3.96,12.77,0.118,0.7,1.04,2.08,1.32,0.1,895,10.4,oll,6,,
,87,70.22,0.71,4.76,12.91,0.1,1.03,1.12,2.29,1.14,0.3,856,9.2,oll,6,,
,88,69.9,0.72,5.09,14.3,0.12,0.86,1.33,2.01,0.91,0.1,881,8.8,oll,6,,
,89,70.67,0.74,4.35,13.12,0.06,0.85,0.97,2.32,0.92,0.07,808,14.7,oll,6,,
,90,66.75,0.68,4.82,14.84,0.11,1.18,1.36,2.91,1.14,0.16,701,11.7,oll,6,,
,91,68.63,0.61,5.52,14.6,23,0.91,1.33,0.78,0.5,0.17,950,12.4,alf,3,,
,92,70.27,0.75,4.76,15.1,0.05,0.85,1.23,1.96,1.14,0.09,950,12.4,alf,3,,
,93,69.3,0.74,4.65,15.06,0.02,0.77,1.07,1.2,1.1,0.1,1002,12.4,alf,3,,
calc-rich,94,39.6,0.48,3.62,9.29,0.14,22,1.35,1.16,0.175,0.17,820,18.6,ert,7,,
calc-rich,95,59.26,0.4,3.28,9.95,0.063,8.4,3.13,1.85,1.34,0.14,353,1.6,oll,6,,
calc-rich,97,59.51,0.51,5.21,12.79,0.07,6.8,2.73,1.77,0.89,0.16,398,2.1,oll,6,,
Bk,98,60.8,0.4,3.46,8.98,0.15,9.61,2.52,1.51,0.96,0.16,551,5.9,oll,6,,
Bk,99,58.7,0.57,3.62,9.9,0.1,9.6,2.9,1.67,0.94,0.19,551,5.9,oll,6,,
,100,70.14,0.55,3.43,12.53,0.04,3.41,1.6,2.81,0.98,0.22,536,10.4,oll,6,,
,101,68.2,0.57,4.075,14.25,0.07,2.15,1.59,2.53,1.4,0.12,688,11.9,oll,6,,
,102,68.1,0.57,4.165,14,0.07,2.31,1.52,2.76,1.195,0.165,523,12.7,oll,6,,
,103,68.72,0.74,4.31,13.25,0.08,2.64,1.37,2.48,1.03,0.1,515,14.1,oll,6,,
,104,68.47,0.67,3.27,10.63,0.03,5.07,1.43,2.45,1.02,0.06,505,16.6,oll,6,,
Bk,105,55.66,0.43,2.72,7.45,0.03,14.09,1.67,1.34,0.3,0.09,468,15.4,oll,6,,
,106,69.3,0.59,4.35,14.02,0.09,1.94,1.63,2.52,1.405,0.165,595,10.1,oll,6,,
,107,60.86,1.8,3.63,22.85,0.04,0.96,0.71,1.74,0.88,0.31,677,10.6,oll,6,,
,108,64.21,0.83,6.05,16.62,0.08,1.54,0.99,2.14,1.62,0.29,442,8.5,oll,6,,
Bk,109,60.71,0.55,3.91,12.97,0.055,6.69,2.69,2.28,0.91,0.17,410,5.2,oll,6,,
Bk?,110,64.53,0.52,3.47,12.21,0.093,5.79,2,2.33,0.91,0.16,366,4.9,oll,6,,
